Player Name,Age,Position,Current Club,Club Ranking Group,Club Rankings,Valuation,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,England,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Roberto Pereyra,31,Forward,Watford,Eleven_Fifteen,11,13,2825,1467,1358,Argentina,No,33,17,16,6,5,1,1,0,1,0,0,5,3,2,52,27,25,3,0,0.22,0.03,0.19,0.31,0.07,471,1.66,54,86,942,2825,0.1,97,251,-1,4
Cheikhou Kouyaté,32,Midfielder,Crystal Palace,Eleven_Fifteen,12,10,1897,865,1032,Senegal,No,31,14,17,0,0,0,2,1,1,0,0,11,6,5,24,7,17,3,0,0.09,0.09,0,0,0,0,1.14,79,61,632,949,0.14,323,161,-1,20
James Tomkins,33,Defender,Crystal Palace,Eleven_Fifteen,12,8,2563,1140,1423,England,Yes,29,13,16,1,0,1,1,0,1,0,0,10,5,5,34,12,22,6,0,0.07,0.04,0.04,0,0.06,2563,1.19,75,88,427,2563,0.21,235,215,63,9
Jeffrey Schlupp,29,Defender,Crystal Palace,Eleven_Fifteen,12,10,1665,849,816,Ghana,No,30,14,16,4,1,3,1,1,0,0,0,8,4,4,24,11,13,1,0,0.27,0.05,0.22,0.11,0.33,416,1.3,69,56,1665,1665,0.05,89,209,86,5
Jordan Ayew,31,Forward,Crystal Palace,Eleven_Fifteen,12,8,1186,616,570,Ghana,No,20,8,12,1,0,1,2,0,2,0,0,6,3,3,13,7,6,3,0,0.23,0.15,0.08,0,0.16,1186,0.99,91,59,395,593,0.23,187,96,-1,12
Luka Milivojević,31,Midfielder,Crystal Palace,Eleven_Fifteen,12,20,3420,1710,1710,Serbia,No,38,19,19,12,7,5,2,0,2,10,1,12,7,5,47,20,27,10,0,0.37,0.05,0.32,0.37,0.26,285,1.24,73,90,342,1710,0.26,59,210,-1,1
Mamadou Sakho,32,Defender,Crystal Palace,Eleven_Fifteen,12,15,2417,1170,1247,France,No,27,13,14,0,0,0,0,0,0,0,0,9,5,4,32,10,22,2,0,0,0,0,0,0,0,1.19,76,90,1209,0,0.07,322,403,64,21
Martin Kelly,32,Defender,Crystal Palace,Eleven_Fifteen,12,3,1110,660,450,England,Yes,13,8,5,0,0,0,0,0,0,0,0,3,2,1,18,11,7,2,0,0,0,0,0,0,0,1.46,62,85,555,0,0.16,326,350,110,18
Vicente Guaita,35,Goalkeeper,Crystal Palace,Eleven_Fifteen,12,5,1755,1035,720,Spain,No,20,12,8,0,0,0,0,0,0,0,0,7,5,2,21,12,9,2,0,0,0,0,0,0,0,1.08,84,88,878,0,0.1,325,352,45,19
Wayne Hennessey,35,Goalkeeper,Crystal Palace,Eleven_Fifteen,12,5,1575,675,900,Wales,No,18,8,10,0,0,0,0,0,0,0,0,5,2,3,23,8,15,0,0,0,0,0,0,0,0,1.31,68,88,0,0,0,321,404,87,13
Wilfried Zaha,29,Midfielder,Crystal Palace,Eleven_Fifteen,12,45,3041,1347,1694,Ivory Coast,No,34,15,19,10,1,9,5,3,2,0,0,10,5,5,45,18,27,10,1,0.44,0.15,0.3,0.07,0.48,304,1.33,68,89,304,608,0.3,63,92,-1,2
DeAndre Yedlin,29,Defender,Newcastle United,Eleven_Fifteen,13,8,2475,1313,1162,USA,No,29,16,13,1,0,1,2,1,1,0,0,6,4,2,37,19,18,7,1,0.11,0.07,0.04,0,0.08,2475,1.35,67,85,309,1238,0.29,237,177,93,13
Javier Manquillo,28,Defender,Newcastle United,Eleven_Fifteen,13,5,1097,503,594,Spain,No,18,9,9,0,0,0,3,2,1,0,0,6,3,3,12,6,6,2,0,0.25,0.25,0,0,0,0,0.98,91,61,549,366,0.16,350,40,30,19
Martin Dúbravka,33,Goalkeeper,Newcastle United,Eleven_Fifteen,13,7,3420,1710,1710,Slovakia,No,38,19,19,0,0,0,0,0,0,0,0,11,5,6,44,23,21,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,345,317,58,18
Rondon,33,Forward,Newcastle United,Eleven_Fifteen,13,15,2609,1343,1266,Venezuela,No,32,16,16,11,6,5,7,5,2,0,0,10,5,5,29,14,15,1,0,0.62,0.24,0.38,0.4,0.36,237,1,90,82,2609,373,0.03,40,43,-1,2
Artur Boruc,42,Goalkeeper,AFC Bournemouth,Eleven_Fifteen,14,1,1080,540,540,Poland,No,12,6,6,0,0,0,0,0,0,0,0,4,2,2,17,4,13,2,0,0,0,0,0,0,0,1.42,64,90,540,0,0.17,361,394,100,20
Asmir Begović,35,Goalkeeper,AFC Bournemouth,Eleven_Fifteen,14,7,2160,1080,1080,Bosnia and Herzegovina,No,24,12,12,0,0,0,0,0,0,0,0,5,3,2,44,19,25,0,0,0,0,0,0,0,0,1.83,49,90,0,0,0,358,273,154,19
Joshua King,30,Forward,AFC Bournemouth,Eleven_Fifteen,14,20,2974,1563,1411,Norway,No,35,18,17,12,9,3,3,3,0,5,1,9,6,3,54,20,34,3,0,0.45,0.09,0.36,0.52,0.19,248,1.63,55,85,991,991,0.09,49,157,-1,2
